0:00ten nine eight seven six five four while your way of really listening
0:088 secondsyeah why you're like city to office no Eric ten nine your internet slow it's not in the end I'm at the end as well
0:1818 secondsdid it be it's gobbing room in DNS server hey guys this is Lucas from betta coding
0:2525 secondsAcademy we're back with the manga reader finally a lot of fun finally what's been busy life's been hard but we are back because we promise you this content and
0:3434 secondswe will not stop until we have to make a readability and patrick has his mega reader all done so he can use it yeah
0:4242 secondsmight be why no I'm starved of minger I know thanks to you so what's your solution just animate
0:5050 secondsyeah crunchyroll it's being it's been crap right now it's just all this like you said kind of garbage cannot relate
1:001 minutewhatever I don't know yeah alright okay so we had something which like you can do this and then you can press that and
1:081 minute, 8 secondsthen it gives us that URL button that your else doesn't do anything why is
1:141 minute, 14 secondsthere a colon so semicolon that we're here in the name this is that part of
1:221 minute, 22 secondsthe name thanks Kate Oh 1 billion percent it is yeah see oh I
1:321 minute, 32 secondsdid not know that's how that it's not like it's not a formatting issue okay alright so so let's uh let's make
1:411 minute, 41 secondssome ground so I can use this damn thing okay good good so what are we doing reader artists that render the pages so
1:501 minute, 50 secondsit's basically like very close to usable now right I wouldn't say that yeah famous last words
1:591 minute, 59 secondsalways doing is pretty father yeah yeah all right so we need do we have the page right that's a Stein get 0 just rendered
2:062 minutes, 6 secondsin nothing yeah yeah so I think the link is fine we have the ID there which is good we have the name which is good this
2:142 minutes, 14 secondsis broken not that we care about SEO because these eh-2-zed we have a zero and the zero is breaking it so in order
2:212 minutes, 21 secondsto fix that let's first have a look and see okay so we're replacing everything that's not ages of zero tonight with
2:282 minutes, 28 secondshyphens so we can do that to fix it yeah which means we should now be able to go yep cool so now we have the page
2:352 minutes, 35 secondsoh cool so we probably wanna list out the
2:422 minutes, 42 secondssummary show an image I kind of like web taste I have that yeah and list out the
2:522 minutes, 52 secondschapters in reverse order okay let's pick one that is uh okay blue Chandler is safe so click that yeah this
3:023 minutes, 2 secondswas good like we don't need too much you know yeah we're power user at man we expect people to know what they're looking at okay affair so I think in terms of the
3:113 minutes, 11 secondsdata we have right now we've got mangas at the moment so for example if we have
3:203 minutes, 20 secondsthem set for name I don't know how this works whatever um so for example for this we don't have the description I think oh we
3:283 minutes, 28 secondsall because we haven't fetched it okay the the API manga it in the API
3:373 minutes, 37 secondsso do we fetch on the spot or do we like fetch ahead of time mmm you can we can
3:463 minutes, 46 secondsdo a bit of both I don't know if we want to complicate it this much we can fetch on the fly but serve the one on the spot
3:543 minutes, 54 secondskind of thing so we can we can like it's the same as what we do with our same is
4:044 minutes, 4 secondswhat we do with our current and stuff right like we fetch it and we catch it and serve the one yep in the BB so we
