Chapter 1: Introduction
0:044 secondshey guys this is Lucas from better coding Academy and in this video we're bringing back part three of the manga reader series in the last episode we had a look at MongoDB and we looked at
0:1313 secondsgetting all of that set up so Patrick what do you say that we should get doing next it's been a while so I don't even
0:1919 secondsremember where we're up to from memory we have a manga in MongoDB instance yes
0:2626 secondsdo we have the MongoDB instance up in servers running at the moment so I'll get that up here so this one is the one we had before but we have it in so oh yeah right sir yarn mmm I think was dr.
0:3838 secondsstocked I have that no I don't create that I think started there okay so I like to do is I just like to have like
0:4646 secondsdocker start like what doctors start what is it whatever your mango reader
0:5252 secondsmonger yeah sweet and then just I like to do this yeonbok and start you're gonna and that should run it and then in
1:011 minute, 1 secondrobo three t connects so this one not working for some reason
1:111 minute, 11 secondsokay there we go and then inside of mango reading here we've got mangoes and
1:181 minute, 18 secondsthis one is managed by Mongoose if you remember yeah that's fine cool um so maybe that's like seed this
1:261 minute, 26 secondsthing properly so we can like set up our work huh so to speak or a con job yeah yeah so we can actually somewhat see the
1:351 minute, 35 secondsdamn thing so yeah let's go for cron I know there's like a package called no cron so maybe I can just do that just make it shutters
1:431 minute, 43 secondsI'll I'll just get that up so I've got my primary Nova key and node cron let's have a look at that so you mean this one here I think so
1:521 minute, 52 secondsyeah I think it was somewhat familiar this one cuz I remember yeah yeah if it works this one okay cool yeah just use
2:002 minutesthis one okay start so uh vs code Jana add node
2:072 minutes, 7 secondscron so I think we need to run the crown
2:152 minutes, 15 secondsseparately so they can't run it together with the service because then when you do what you're just gonna keep seeing it over and over again
2:232 minutes, 23 secondsoh you mean footnote cron yeah yeah so you know what you want to like you and an explicit commands around it basically
2:302 minutes, 30 secondsso can we expand the source folder just to refresh my memory how we set up the DB because we need the prompt we need
2:382 minutes, 38 secondscon needs access to Mongoose so you want to see flowers in such a way that the cron has access to the model well what
2:472 minutes, 47 secondsif we just like kind of keep it all inside source like this and we have a separate file called like Rhonda KS and we just like expect from that but the
2:552 minutes, 55 secondsproblem is you're gonna have to be um duplicate the DB folder cuz your con needs access to your like DB right so it
3:053 minutes, 5 secondsalso needs access to your model the model you defined in Mongoose like it's a shared model between your service and your own yeah so it's fine the structure
3:133 minutes, 13 secondsis fine right now right because you have a TMP folder and it's the model inside the teepee folder yeah so we have the the models and like the main guard now
3:213 minutes, 21 secondswhat I'm saying is like what if we just keep these three like that and then we create a file called corn is that uses the same same model same yeah yeah yeah
3:293 minutes, 29 secondsyeah yeah that's exactly what's getting in so if we have like holidays here then we can do like say for example just
Chapter 2: Running MangaEden
3:353 minutes, 35 secondsstart cron mm-hmm okay so wait so then for the watch command then we we don't want something like that for cron do we
3:443 minutes, 44 secondsbecause no we do need yes yes so we can just do like star cron and then this one just like a brunch brunch is yeah we just run it so then we might do like say
3:533 minutes, 53 secondsfor example up not enough space that's okay we might just do like X I can zoom out first and then create a new one and
4:004 minutesthen zoom back in 400 IQ and then services here and then what I can do is inside of here I can do like yarn like
4:084 minutes, 8 secondsstock pond mmm and then that will run like the corn one time or whatever yeah so then what we can do is if we go back
4:164 minutes, 16 secondsto Chrome we have no cron and like let's just schedule something
4:234 minutes, 23 secondsthat runs like every second so it's a young okay so just like see if it works
4:294 minutes, 29 secondsyeah yeah and then yarn stock cron okay
4:374 minutes, 37 secondsso that shows every single second yeah and that's working fine and we have our so this is something that needs to be severed yeah yeah um he was scheduled
4:454 minutes, 45 secondsfor an hour does it run like immediately or run in the first hour I think it runs immediately and then one hour right like it doesn't initial run oh no it
4:544 minutes, 54 secondsdoesn't I don't think it does let's do an initial run so a second minute hour let's find out yeah I don't think it does do initial
5:005 minutesroom did I mess up something I think yes I think you still need to put a star
5:065 minutes, 6 secondsthere but just put one on the hour or something like something like that yeah
5:145 minutes, 14 secondsall right what all right okay oh no so ah I see I see okay so then the way on
5:225 minutes, 22 secondswork is like it would one every hour so be like so what's the first one first one is second which is optional and then
5:315 minutes, 31 secondsminutes so then I would do like a minute zero okay so minute zero would mean that it would run on the zero minute of every hour yes like relative to when we started I think so maybe like if we do
5:395 minutes, 39 secondsit now it should run no I think it's it runs after one minute that's fine so we
5:475 minutes, 47 secondsneed to do so we might need to do like in wait sure no no what if I do this like what if I do that because it does
5:585 minutes, 58 secondsit depend upon the system clock right now - uh uh it's 40 so you maybe if we wait actually
6:066 minutes, 6 secondsyeah maybe it's probably like something like that say so right now it is what's the time right now that's your system
6:136 minutes, 13 secondsclock right yeah different 23152 three four five okay so should come up in like
6:196 minutes, 19 secondsabout five seconds maybe yeah okay yeah all right so runs on the zero so what so
6:266 minutes, 26 secondsthen this would actually run every minute right you know so then if I do like zero zero then it runs every yeah okay so so we need this one thing
6:346 minutes, 34 secondsyeah okay so now we probably need like we can keep the keep the car as is but now the the command to seed probably
6:416 minutes, 41 secondsneeds to be on a separate like a separate file right yeah like separate to the actual or like at least outside of this see that way we
6:506 minutes, 50 secondscan kind of use it separately yeah or you can just have you can just do an argument that just runs like you can keep in the same file to have an
6:586 minutes, 58 secondsargument that just runs an initial one yeah okay yeah that's probably clean you know to be honest I don't really want to create too many files at this point I
7:067 minutes, 6 secondsthink maybe like this are what if we just feel like constant and we'll just write it here first because I mean
7:147 minutes, 14 secondsbefore we even do this we should like look at the manga Aidan like the actual yeah yeah the actual API again and it's like you're from there so the one that
7:227 minutes, 22 secondswe had before was manga Eden API specifically let's look at the one for English zero and then let's just look at
7:307 minutes, 30 secondsthe first page so doesn't lag right so like this is the one that we had and we want to turn this into something which
7:387 minutes, 38 secondswe can put into our database but then when we actually get it and we want to store it inside of our [ __ ] we do API
7:467 minutes, 46 secondslist zero without the P right so you'll get all of them yeah okay alright so firstly should we store that URL
7:527 minutes, 52 secondssomewhere yeah yeah what would you suggest for the name like mmm
8:008 minutesjust do like source ain't got a P I know I actually just domain get Eden maybe cuz now cuz this is specifically manga
8:068 minutes, 6 secondsEden right yeah yeah well just call the mega eating URL to keep it the same yeah yeah yeah cause like mega Eden to
8:158 minutes, 15 secondswas technically to write I don't know it doesn't know who's like theoretically um if we have multiple sources it doesn't really matter
8:238 minutes, 23 secondsyeah okay all right men get eating URL here oh we don't have an example which probably create one why do you play this
8:348 minutes, 34 secondsbut MDOT example and then that's fine that's what yeah so this is fine as well and then don't em here
8:418 minutes, 41 secondsand then what we would do is access to that know any lady in the bottom right
8:498 minutes, 49 secondsyeah just need water poor Anita also do we have access don't know a bit probably
8:568 minutes, 56 secondsno we don't include access as well yeah we import apps EOS from Axios like that
9:049 minutes, 4 secondsand for our scene let's just let's just do this first like a sink
9:119 minutes, 11 secondsAxios so oh wait actually all stuck yet process like MDOT and then guy even URL mmm yeah I mean where does look like yeah
