0:044 secondsdude it's like it's actually what I love therapy does though it's like he just he takes something like like a phone with like a 40 yeah dead battery or something
0:1313 secondsand it's like guys imagine if you were on a siberian railway like an important businessman and yeah no access to
0:2020 secondselectricity for the next foreseeable future all kind of fine would you want to be carrying what do you think about that wheel what do you know that we'd have to say
0:2929 secondsyeah I will it's like pretty yes you see you stole this what time
0:3737 secondshey stuff hey guys this is Lucas from the decoding Academy we are back on the mango reader huh nice little hobby requested that use that live so we are
0:4646 secondscoming back straight Ian I have no idea what's going on but we're gonna jump into it hello I remember we had a PWA
0:5656 secondsyes already did so we have the manga reader UWA right here you're in this thing
1:021 minute, 2 secondsyeah okay so it literally just says working this was a menace of work I said
1:121 minute, 12 secondsI don't denounce it or anything this is something yes solid solid yep stop okay so today what we let's do some hardcore
1:191 minute, 19 secondsfor a name forget about the actual PWA
1:281 minute, 28 secondsyep forget about it
1:311 minute, 31 seconds[Music]
1:331 minute, 33 secondsjust work any about it alright so let's
1:391 minute, 39 secondsstart by installing what we know we need so we need craft Apolo client graph QL
1:471 minute, 47 secondswhatever you need yes wait we did react we need react Dom we probably need low -
1:581 minute, 58 secondsAranda one of them is ran down low - up - um good whispers the news Randa I
2:062 minutes, 6 secondsthink around is better in react yeah okay but you can also use low - FP which is almost the same thing I wanna try radicals I've never a
2:132 minutes, 13 secondsimproperly trying it's hard to it's hard to get into proper use cases over and over if your API is designed well
2:202 minutes, 20 secondsdefining doesn't need to do too much
2:412 minutes, 41 secondshey be honest when you're setting up and like a new project or something like right okay how much women do you
2:502 minutes, 50 secondsactually copy/paste um depends what it is for your footnote for no it actually almost nothing
2:572 minutes, 57 secondsyeah cuz I don't know the node is I just remember or for some reason for react almost I sure there's nothing as well
3:063 minutes, 6 secondscuz it's like my general setup is just uh alright now I do copy the saga middleware ah yeah yeah and the apply
3:153 minutes, 15 secondsmiddleware and useless enhancers yeah combined you just yeah yeah it's just the this yeah and I mean unpopular
3:233 minutes, 23 secondsmethod but I tend to skip actions a lot I just think actions the vanilla are so stupid
3:303 minutes, 30 secondsyeah so I just never use them I have no
3:523 minutes, 52 secondsidea man I knew that 3000 ah there's 4,000 3,000 that's the API oh
4:004 minutesyeah this must yeah yeah to be 3,000 I
4:044 minutes, 4 secondsthink it is so cute 200 blank page for
4:284 minutes, 28 secondsthis projects I want to see what directory structure you tend to do so you're like okay now we're going to put in a component what do you do what you
4:344 minutes, 34 secondscall it yeah so firstly do you have alias package yeah selling out one so
4:444 minutes, 44 secondsthis part is also read/write underscore it's just a tease yeah so I like to put
4:514 minutes, 51 secondssomething to this source like at root or something every just do that's SRC easier to like it's one
5:005 minutescharacter this more yeah yeah any it's
5:045 minutes, 4 secondsmore obvious what it is like the
5:135 minutes, 13 secondsconvention is an yeah yeah that's the yes - okay that's actually why I don't
5:205 minutes, 20 secondslike use you have is because what like what if you have a directory quote like say you want to do one quote I agree I
5:295 minutes, 29 secondsagree yeah okay - I always actually I always like to just put slash sauce way
5:345 minutes, 34 secondsobviously it doesn't work so we have a
5:525 minutes, 52 secondsAPI folder icon folder okay yes I
6:006 minutesactually don't like to pre folder things like I just make them as I need them otherwise sometimes I feel like it's
6:096 minutes, 9 secondsdifficult to move stuff back out or you know it's about equal effort to move stuff in the move stuff out so we wanna
6:156 minutes, 15 secondsapp probably I like to be super lazy and just start the app in the index file and if it's not bigger than like ten lines
6:246 minutes, 24 secondsI'm not gonna even live it up no I just like literally just start doing the app inside index file obviously here yeah yeah because you
6:326 minutes, 32 secondsdon't know how big is gonna be but it was like five lines and what's the point is yeah so what do we actually want do
6:406 minutes, 40 secondswe have a design no preference let's have my web happens yeah I need to do
6:516 minutes, 51 secondssome speech therapy man like I purposely speak like an idiot but I don't have to
6:566 minutes, 56 secondsreally I think so no no it's like it's a bit on purpose so when I'm talking
7:057 minutes, 5 secondscasually I'm just saying you know yeah just do this I have like that lame accent really yeah I mean amazing I don't do that cuz
7:147 minutes, 14 secondsI'm like for me it's like I subconsciously switch between my professional voice which is yeah yeah and live my mold bogan voice yeah that
7:227 minutes, 22 secondsvoice came from noise broken without twisting Sydney University okay so like you got a lot of you know Lebanese people oh yeah oh yeah it's like it's
7:317 minutes, 31 secondspart of yeah yeah it's just how it's and also going to I know you I know what you like you just like me you wrap up and you're also a what's up you know like
7:397 minutes, 39 secondsvery very casual lots of like yep yep yep okay so we okay so I know we want a
7:487 minutes, 48 secondslist I know we want a list of some sort can we find a pretty list because this is like a grid yeah we can't do this we
7:577 minutes, 57 secondscan't do that yeah maybe yeah we can actually we can we can do this we can do this do we do we want to be we want to
8:058 minutes, 5 secondsbe um what you might call it ambitious and do this because we have the last updated date so we can actually do this
8:148 minutes, 14 secondswe could try it now my main concern is the picture we have a picture we have a
8:218 minutes, 21 secondssmall picture oh we do yeah we do this
8:318 minutes, 31 secondskind of grid or just like mmm let's how long this is great go for you just calm down Oh Danny's a lot longer than I want it
8:408 minutes, 40 secondsto be yeah yeah we're just gonna we're
8:508 minutes, 50 secondsjust gonna be a last updated actually you know what this is not what we want to do we don't want to quit we want to
8:578 minutes, 57 secondssearch yeah I think that's more important than like yeah this is looser so let's find them do we want to find a
9:059 minutes, 5 secondsUI cute though we like just because I would because we won't like we want that
9:149 minutes, 14 secondssearch bar with a legal icon we don't want to go here we go to me no yeah we don't want to look like a googly
9:239 minutes, 23 secondsthere's really heavy ones like ant design or the FBI yeah but it's really
9:319 minutes, 31 secondsheavy but it's caught like everything you possibly need and it's also very it's also very it's very compact I give you use it you if yeah it's shiny so it's
9:409 minutes, 40 secondsvery compact yeah you you feel like you fit so much in the screen if you use this oh because like you go to like the
9:509 minutes, 50 secondsChinese website like dr. Bell and she completely like a summation here on this page is like it was like five times the
9:589 minutes, 58 secondsamount like the whole be right well yes PayPal okay yeah yeah yeah it's just it's just really really dense yeah
10:0610 minutes, 6 secondsmake sense like white people thought like lunch Chinese because the text looks like just looks like tiny with him robbing her yet yeah yeah yeah we could
10:1610 minutes, 16 secondsgo and design this is we don't use our bomb we react or they have that this
10:2610 minutes, 26 secondsbomb man I use both my CSS just pure before that looks unofficial dude yeah
10:3310 minutes, 33 secondsso so one month old two months old Wow time flies can we check the search
10:4010 minutes, 40 secondsbox you need maybe it honeydew XD ah ok
11:0711 minutes, 7 secondsyeah that's that's that's exactly come on no surely they have a storybook right
11:1711 minutes, 17 secondsDevine story ooh this guy said Chinese
